Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Indicator,OrderVal
2019-10-01 00:00:00-04:00,67.28751312193874,68.1606965537287,65.46256294719096,65.89915466308594,7043700,0.0,0.0,QCOM,-1,177.080762615741
2019-10-02 00:00:00-04:00,65.7158120417733,66.10874207141276,64.41476343493514,64.60686492919922,5997500,0.0,0.0,QCOM,0,147.15111696348342
2019-10-03 00:00:00-04:00,64.55445720180333,66.21350720423007,63.88210882989506,66.12619018554688,5419400,0.0,0.0,QCOM,1,98.34492890025803
2019-10-04 00:00:00-04:00,66.64137118541144,67.72411696946557,66.22224013185323,67.66299438476562,4893600,0.0,0.0,QCOM,-1,117.33077139051667
2019-10-07 00:00:00-04:00,67.24386677446213,67.7153866889477,66.59770615357723,66.65882873535156,4215500,0.0,0.0,QCOM,-1,86.52115360280555
2019-10-08 00:00:00-04:00,65.94280231709294,66.20475998149925,63.57647628623379,63.61140441894531,8489600,0.0,0.0,QCOM,1,178.20893135038258
2019-10-09 00:00:00-04:00,64.53701491823017,65.31414793190912,64.23139527264978,64.92121124267578,5137500,0.0,0.0,QCOM,1,163.47443492720947
2019-10-10 00:00:00-04:00,64.92118643824897,66.33574598767431,64.7640131549795,65.46256256103516,5580600,0.0,0.0,QCOM,1,43.126078165198166
2019-10-11 00:00:00-04:00,66.52784866000309,67.9511352739523,66.37067537377439,66.9731674194336,7280800,0.0,0.0,QCOM,1,11.022195159652597
2019-10-14 00:00:00-04:00,66.92950658465506,67.55819967640588,66.60642633976633,66.62389373779297,4545300,0.0,0.0,QCOM,-1,23.407681511129425
2019-10-15 00:00:00-04:00,67.1303467156485,68.09085391851589,66.60643793526911,67.95114135742188,5222500,0.0,0.0,QCOM,0,138.0708432788886
2019-10-16 00:00:00-04:00,67.66299764227394,68.3877416542233,67.47962987934622,68.30915832519531,6218000,0.0,0.0,QCOM,1,79.26239848865649
2019-10-17 00:00:00-04:00,68.71952850766488,69.81974141843988,68.45757749395874,68.95529174804688,5916700,0.0,0.0,QCOM,0,72.49535185996233
2019-10-18 00:00:00-04:00,68.649690203015,69.1735989785395,67.82016186839482,67.82889556884766,6107000,0.0,0.0,QCOM,-1,114.03840965120555
2019-10-21 00:00:00-04:00,68.44012718164834,69.06008672927442,68.1170535179044,68.96404266357422,5119800,0.0,0.0,QCOM,0,59.132984247927354
